address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Flotilla House, 12 Cable Street, Royal Wharf, London, E16",E16,2970,3426,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.4,3
"Kingwood Apartments, Waterline Way, London, SE8",SE8,1800,2076,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.7,3
"Avalon Point, 1 Silvocea Way, Orchard Wharf, London, E14",E14,1720,1984,Long term,Furnished,Ask agent,Apartment,1.0,1.0,547 sq ft,0.3,3
"Metcalfe Court, West Parkside, London, SE10",SE10,1650,0,,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Discovery Docks Apartment West, 2 South Quay Square, London, E14",E14,2495,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.1,3
"Langan House, 14 Keymer Place, Lime House, London, E14",E14,3200,3692,Long term,Furnished,Ask agent,Apartment,3.0,2.0,879 sq ft,0.5,3
"Gateway Tower, 28 Western Gateway, London, E16",E16,1800,2076,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.2,3
"Abram Building, Riverscape, Silvertown, London, E16",E16,2167,2500,Long term,Part furnished,Ask agent,Flat,1.0,1.0,573 sq ft,0.4,3
"Park Drive, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,,1.0,516 sq ft,0.3,3
"No1 West India Quay, 26 Hertsmere Road, London, E14",E14,3400,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3
"Arena Tower, 25 Crossharbour Plaza, London, E14",E14,4300,0,Long term,Furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.3,3
"Landmark West Tower, 22 Marsh Wall, London, E14",E14,2400,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Balfron Tower, St. Leonards Road, E14",E14,1850,2134,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Hampton Tower, 
75 Marsh Wall, E14",E14,3000,3462,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Dunstans Grove, East Dulwich, London, SE22",SE22,2250,0,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.9,3
"Perry Vale, Forest Hill, SE23",SE23,1800,2076,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Fingal Street, London, SE10",SE10,1850,2134,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.6,3
"Cherry Park Lane, London, E20",E20,3302,600,Long term,Furnished,Ask agent,Apartment,2.0,,Ask agent,0.2,3
"Balfron Tower, St. Leonards Road, E14",E14,3500,4038,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,4.0,2.0,Ask agent,0.3,3
"Canning Town, London, E16",E16,2000,0,Long term,Ask agent,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Asylum Road, Peckham, SE15",SE15,1650,1903,Long term,Unfurnished,Ask agent,Apartment,2.0,,Ask agent,0.4,3
"Asylum Road, Peckham, SE15",SE15,1995,2301,Long term,Unfurnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.5,3
"Heartwell Avenue, London, E16",E16,2500,2884,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Green Street, London, E13",E13,1800,2076,Long term,Part furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.6,3
"Azure Building, London, E15",E15,2700,3115,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Brigadier Walk, Royal Arsenal Riverside, SE18",SE18,2600,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Francis House, Barking Road, London, E13",E13,1550,1788,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,365 sq ft,0.7,3
"Pegler Square, Kidbrooke Village, London, SE3",SE3,2300,2653,Long term,Furnished,Ask agent,Apartment,2.0,1.0,764 sq ft,0.7,3
"Station Road, London, SE13",SE13,1861,1900,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"The Highway, London, E1W",E1W,2500,0,Long term,Furnished,Ask agent,Apartment,3.0,1.0,Ask agent,0.4,3
"Frobisher Street, London, SE10",SE10,1500,1788,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,409 sq ft,0.5,3
"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, London, E14",E14,2650,3057,Long term,Furnished,Ask agent,Apartment,2.0,2.0,758 sq ft,0.2,3
"Bagshaw Building, 1 Wards Place, Canary Wharf, London, E14",E14,2800,0,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.2,3
"Burdett Road, Bow",BOW,1746,0,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Basin Approach, London, E14",E14,2700,2700,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3
"Blondin Way, London, SE16",SE16,1950,2250,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.6,3
"Mount Adon Park, SE22",SE22,2000,2307,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.9,3
"Westferry Road, E14",E14,1647,1904,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Alaska Building, 
Deals Gateway, SE13",SE13,1750,0,Long term,Furnished,Ask agent,Flat,1.0,,Ask agent,0.2,3
"Faraday Avenue, Sidcup, DA14",DA14,2800,3231,,Unfurnished,Ask agent,Chalet,5.0,2.0,Ask agent,0.8,3
"Landmark Pinnacle, Marsh Wall, London, E14",E14,4000,4615,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Ontario Point, Surrey Quays Road, Canada Water, London, SE16",SE16,2400,2769,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.2,3
"Hampton Tower, 75 Marsh Wall, Canary Wharf, London, E14",E14,2800,3230,Long term,Furnished,Ask agent,Apartment,1.0,1.0,659 sq ft,0.2,3
"Maine Tower, 9 Harbour Way, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,1.0,1.0,564 sq ft,0.2,3
"25 barge Walk, Greenwich, LONDON, SE10",SE10,2200,0,,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Nyland Court, Greenland Place, SE8",SE8,2200,0,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,Ask agent,0.6,3
"Peppercorn Court, Oxbow, E14",E14,1750,0,Long term,Furnished,Ask agent,Studio,,1.0,Ask agent,0.3,3
"Westminster Gardens, Barking, IG11",IG11,2100,2423,Long term,Unfurnished,Ask agent,End of Terrace,3.0,1.0,893 sq ft,1.0,3
"Little Heath Road, Bexleyheath, Kent, DA7",DA7,3350,3865,Long term,Part furnished,Ask agent,Semi-Detached,4.0,2.0,Ask agent,1.0,3
"3 Tidal Basin Road, London, E16",E16,2500,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Roden Street, Ilford, London, IG1",IG1,2050,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,667 sq ft,0.7,3
"Dundas Court, Greenwich, SE10",SE10,2400,2769,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Phoenix Heights East, E14",E14,2750,3173,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.2,3
"Ilford Hill, Ilford, London, IG1",IG1,2100,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,716 sq ft,0.7,3
"Ilford Hill, Ilford, London, IG1",IG1,2050,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,716 sq ft,0.7,3
"Ilford Hill, Ilford, London, IG1",IG1,1899,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,716 sq ft,0.7,3
"Hertsmere Road, 
Canary Wharf, E14",E14,3650,5054,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3
"Branch Road, E14",E14,2450,2826,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"Dundas Court, 29 Dowells Street, Greenwich, London, SE10",SE10,1950,2250,Long term,Furnished,Ask agent,Apartment,1.0,1.0,491 sq ft,0.3,3
"Nova Building, Newton Place, Canary Wharf London, E14",E14,2990,0,,Furnished,Ask agent,Apartment,3.0,1.0,Ask agent,0.6,3
"Ambassador square, Isle of dogs, Canary Wharf, London, E14",E14,6110,0,,Furnished,Ask agent,Town House,6.0,8.0,Ask agent,0.3,3
"Hallings Wharf Studios, London, E15",E15,2700,3115,Long term,Furnished,Ask agent,Flat,3.0,2.0,Ask agent,0.3,3
"Tudor Court, Princes Riverside Road, Rotherhithe, London, SE16",SE16,2448,2825,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"Hornbeam House, 22 Quebec Way, Canada Water, London, SE16",SE16,4117,4750,Long term,Furnished,Ask agent,Apartment,3.0,3.0,Ask agent,0.5,3
"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, E14",E14,3640,4200,Long term,Part furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.2,3
"Talisman Tower, 6 Lincoln Plaza, Canary Wharf, E14",E14,3400,3923,Long term,Part furnished,Ask agent,Apartment,3.0,2.0,Ask agent,0.2,3
"Aspen, Canary Wharf, E14",E14,2400,2769,Long term,Ask agent,Ask agent,Studio,,1.0,430 sq ft,0.2,3
"Sailors House, London, E14",E14,1895,2187,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Brockley Road, London, SE4",SE4,1600,1800,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Manor Way, Blackheath, London, SE3",SE3,2800,1292,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Terraced,3.0,2.0,Ask agent,0.6,3
"Harbourside Court, 1 Gullivers Walk, London, SE8",SE8,2200,2538,Long term,Furnished,Ask agent,Apartment,2.0,2.0,790 sq ft,0.7,3
"Ironmongers Place, Canary Wharf,London, E14",E14,4983,0,,Furnished,Ask agent,Semi-Detached,5.0,4.0,Ask agent,0.4,3
"Chaucer Drive, London, SE1",SE1,2750,3173,Long term,Furnished,Ask agent,Terraced,3.0,1.0,Ask agent,0.9,3
"Ferry Street, Isle of dogs, London, E14",E14,4983,0,,Furnished,Ask agent,Terraced,5.0,4.0,Ask agent,0.2,3
"Counter House, London Dock, London, E1W",E1W,2545,0,,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Old Kent Road, London, SE1",SE1,2095,2095,Long term,Furnished,Ask agent,Flat,2.0,1.0,Ask agent,0.9,3
"DONALDSON ROAD, Woolwich, London, SE18",SE18,2350,2712,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,1.0,"1,044 sq ft",1.2,3
"Abbey Street, Bermondsey, London, SE1",SE1,3150,3635,Long term,Part furnished,Ask agent,Flat,3.0,2.0,"1,226 sq ft",0.6,3
"Haddo House, SE10",SE10,1850,2135,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.1,3
"Sherwood Gardens, Isle Of Dogs, London, E14",E14,1842,2125,Long term,Part furnished,Ask agent,Flat,1.0,1.0,613 sq ft,0.5,3
", FALCONBROOK GARDENS, Canning Town, London, E16",E16,2400,2770,Long term,Furnished,Ask agent,Flat,1.0,,692 sq ft,0.3,3
"Tidal Basin Road, E16, Royal Docks, London, E16",E16,1750,2020,Long term,Unfurnished,Ask agent,Studio,,1.0,442 sq ft,0.2,3
"Leafy Oak Road, Grove Park, London, SE12",SE12,2300,2654,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,1.0,874 sq ft,0.8,3
"Wellsmoor Gardens, Bickley, Bromley, BR1",BR1,2500,2885,Long term,Unfurnished,Ask agent,House,3.0,1.0,"1,070 sq ft",0.7,3
"Lewisham Way, New Cross, SE14",SE14,2000,2308,Long term,Unfurnished,Ask agent,Flat,2.0,1.0,Ask agent,0.4,3
"Gilbert Close, Godwin House, SE18",SE18,1500,1730,Long term,Furnished,Ask agent,Apartment,1.0,,Ask agent,1.3,3
"Barquentine Heights, Greenwich, SE10",SE10,2500,2885,Long term,Unfurnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.7,3
"Exeter Way, London, SE14",SE14,2195,2532,Long term,Ask agent,Ask agent,End of Terrace,2.0,1.0,Ask agent,0.2,3
"New Cross Road, London, SE14",SE14,1400,1615,Long term,Part furnished,Ask agent,Studio,,1.0,Ask agent,0.2,3
"Sunbury Court, 12 Myers Lane, New Cross, London, SE14",SE14,1200,0,Long term,Ask agent,Ask agent,Studio,,1.0,Ask agent,0.6,3
"Hampton Tower, 75 Marsh Wall, Canary Wharf, London, E14",E14,2400,2769,Long term,Furnished,Ask agent,Apartment,,1.0,472 sq ft,0.2,3
"Moremead Road, London, SE6",SE6,1595,0,Long term,Unfurnished,Ask agent,House,2.0,1.0,Ask agent,0.5,3
"Bridge View Court, Grange Road, London Bridge, SE1",SE1,2968,0,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.7,3
"Royal Wharf , London, E16",E16,2300,0,Long term,Part furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Mercia Grove, London, SE13",SE13,1395,1610,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Slippers Place, London, SE16",SE16,2200,2000,Long term,Furnished,Ask agent,Flat,3.0,1.0,Ask agent,0.3,3
"Wharfside Point South, London, E14",E14,1675,1675,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.1,3
"Amory Tower (The Madison), Marsh Wall, London, E14",E14,2550,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Rennets Wood Road, Eltham, SE9",SE9,1850,2134,Long term,Ask agent,Ask agent,Apartment,3.0,1.0,Ask agent,1.0,3
"Cavatina Point, 3 Dancers Way, London, SE8",SE8,2400,0,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"The Haydon, City of London, EC3N",EC3N,6000,8307,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,948 sq ft,0.2,3
"Vetro Court, Salter Street, Canary Wharf, London, E14",E14,3250,0,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Windsor Square, SE18",SE18,2850,0,Long term,Furnished,Ask agent,House,2.0,3.0,Ask agent,0.3,3
"Belfort Road,  Nunhead, SE15",SE15,1550,0,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"New Road, Rainham, Havering, London, RM13",RM13,2200,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Ground Flat,3.0,,Ask agent,1.1,3
"New Road, Rainham, Havering, London, RM13",RM13,1750,0,Long term,Ask agent,Ask agent,Apartment,2.0,,Ask agent,1.1,3
"New Road, Rainham, Havering, London, RM13",RM13,2150,0,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Ground Flat,3.0,,Ask agent,1.1,3
"New Road, Rainham, Havering, London, RM13",RM13,2100,0,Long term,Ask agent,Ask agent,Ground Flat,3.0,,Ask agent,1.1,3
"Newham, E16 2Su, E16",E16,1950,1950,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"John Cabot House, London, E16",E16,1200,1200,Long term,Furnished,Ask agent,Flat Share,1.0,2.0,Ask agent,0.4,3
"City Harbour, Selsdon Way, Canary Wharf, E14",E14,2450,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.2,3
"Brigadier Walk, Royal Arsenal Riverside, SE18",SE18,2050,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Lee High Road, London, SE13",SE13,775,894,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,House Share,1.0,2.0,Ask agent,0.6,3
"Belgrave Court, 
36 Westferry Circus, E14",E14,3000,4154,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.3,3
"Stanstead Road,  London, SE23",SE23,2000,2307,Long term,Ask agent,Ask agent,Flat,2.0,2.0,Ask agent,0.6,3
"Blenheim Grove, Peckham Rye, London, SE15",SE15,2500,0,Long term,Unfurnished,Ask agent,House,2.0,1.0,Ask agent,0.5,3
"Cossall Walk, Queens Road , London, SE15",SE15,1450,0,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"West Tower, Hoola, 1 Tidal Basin Road, London, E16",E16,2500,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Riverscape, Royal Crest Avenue, E16",E16,2650,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.5,3
"10 Marsh Wall, Landmark Pinnacle, E14",E14,3683,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.3,3
"Drake Hall, Wesley Avenue, London, E16",E16,2100,2423,Long term,Ask agent,Ask agent,Apartment,2.0,1.0,Ask agent,0.3,3
"Blenheim Court, King & Queen Wharf, SE16",SE16,1650,1904,Long term,Ask agent,Ask agent,Studio,,1.0,Ask agent,0.5,3
"Darwin Road , Welling, Kent",KENT,2600,3000,Long term,Unfurnished,Ask agent,House,4.0,2.0,Ask agent,0.8,3
"Denison House, 
20 Lanterns Way, E14",E14,2000,2308,Long term,Ask agent,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Swanbridge Road, DA7",DA7,1999,0,Long term,Ask agent,Ask agent,Bungalow,4.0,1.0,Ask agent,0.9,3
"Cecil Avenue, Barking, Essex, IG11",IG11,800,800,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,House Share,1.0,1.0,Ask agent,0.8,3
"One Park Drive, Canary Wharf, E14",E14,2383,2750,Long term,Furnished,Ask agent,Apartment,,1.0,Ask agent,0.2,3
"Glenmore Road, Welling, DA16",DA16,1650,0,Long term,Ask agent,Ask agent,Semi-Detached,2.0,1.0,Ask agent,1.0,3
"Crofton Road, London, E13",E13,875,875,Long term,Furnished,Ask agent,House Share,1.0,2.0,Ask agent,0.9,3
"Landmark Pinnacle, London, E14",E14,3200,3692,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Deauvile Close, London, E14",E14,1895,2187,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.3,3
"Orange Grove, London, E11",E11,1600,1846,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Landmark East Tower, London, E14",E14,2490,2873,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Porters Avenue, Dagenham, London, RM9",RM9,2100,2538,Long term,Unfurnished,Ask agent,Semi-Detached,3.0,,Ask agent,0.8,3
"Paxton Point, 3 Merryweather Place, London, SE10",SE10,1750,2019,Long term,Furnished,Ask agent,Apartment,1.0,1.0,490 sq ft,0.3,3
"Katharine Court, E14",E14,1850,2134,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.4,3
"Etchingham Road, Leyton, E15",E15,2450,0,Long term,Ask agent,Ask agent,,3.0,1.0,Ask agent,0.5,3
"Poplar, London, E14",E14,2250,2500,,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Arnold Estate, Druid Street, London, SE1",SE1,1800,0,Long term,Ask agent,Ask agent,Apartment,1.0,,Ask agent,0.6,3
"Discovery Dock Apartments East, 3 South Quay Square, Nr Canary Wharf, London, E14",E14,2999,3460,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3
"Plumstead Road, Woolwich, London, SE18",SE18,2000,2308,Long term,Part furnished,Ask agent,Flat,1.0,1.0,649 sq ft,0.3,3
"Sunderland Road, Forest Hill, SE23",SE23,2000,2307,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,3.0,1.0,Ask agent,0.7,3
"Longbridge Road, Barking, London, IG11",IG11,1800,0,Long term,Ask agent,Ask agent,Flat,2.0,,Ask agent,0.9,3
"Cobham House, Kidbrook Village, London, SE3",SE3,1700,0,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,0.7,3
"Ontario Point, Surrey Quays Road, London, SE16",SE16,2300,2653,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1.0,1.0,627 sq ft,0.2,3
"Aspen, Marsh Wall, E14",E14,3000,3462,Long term,Furnished,Ask agent,,1.0,1.0,Ask agent,0.1,3
"Breton house. St. Saviours Estate, London, SE1",SE1,1650,1903,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.7,3
"Britten Court, Abbey Lane, London, E15",E15,1550,1788,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Mercier Court, Royal Wharf, London, E16",E16,1998,0,Long term,Unfurnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"New Cross Road, New Cross, SE14",SE14,2000,2307,Long term,Furnished,Ask agent,Maisonette,3.0,1.0,Ask agent,0.3,3
"Copperfields, The Avenue, Beckenham, BR3",BR3,1900,2192,Long term,Unfurnished,Ask agent,Flat,2.0,2.0,Ask agent,0.6,3
"Liner House, Royal Wharf, London, E16",E16,2050,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3
"Grantham House, London City Island, E14",E14,2708,0,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.8,3
"Ursula Gould Way, E14",E14,2250,2596,Long term,Furnished,Ask agent,Apartment,2.0,1.0,Ask agent,0.4,3
"150 High Street, London, E15",E15,2000,2307,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"158 High Street, London, E15",E15,2325,2682,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Little Heath Road, Bexleyheath, DA7",DA7,3350,3865,Long term,Part furnished,Ask agent,Semi-Detached,4.0,3.0,Ask agent,1.1,3
"Abbey Street, London, SE16",SE16,2100,2423,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.6,3
"Victoria Wharf, 46 Narrow Street, Nr Canary Wharf, London, E14",E14,2999,3460,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.5,3
"Baltimore Wharf, London, E14",E14,1690,1690,Long term,Part furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.3,3
"Boardwalk Place, 
South Quay, E14",E14,2600,3000,Long term,Furnished,Ask agent,Flat,2.0,2.0,Ask agent,0.2,3
"Woodstock Terrace, London, E14",E14,1650,1904,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.2,3
"Hawstead Road, London, SE6",SE6,1500,1731,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.4,3
"Madron Street, London, SE17",SE17,1750,1750,Long term,Unfurnished,Ask agent,Flat,1.0,1.0,Ask agent,1.0,3
"Myers Lane, London, SE14",SE14,1500,1500,Long term,Furnished,Ask agent,Flat,1.0,1.0,Ask agent,0.6,3
"Surrey Quays Road, London, SE16",SE16,2000,2307,Long term,Furnished,Ask agent,Apartment,1.0,1.0,517 sq ft,0.2,3
"Queens Road, Peckham, SE15",SE15,2250,0,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Queens Road, Peckham, SE15",SE15,1850,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Ottley Drive, London, SE3",SE3,1600,1846,Long term,Ask agent,Ask agent,Apartment,1.0,,Ask agent,0.7,3
"Denison House, 
Lanterns Way, E14",E14,2200,2538,Long term,Furnished,Ask agent,Flat,1.0,1.0,480 sq ft,0.2,3
"Parkside House, Booth Road, London, E16",E16,1650,1903,Long term,Furnished,Ask agent,Apartment,1.0,1.0,484 sq ft,0.5,3
"Quebec Way, London, Greater London, SE16",SE16,2500,2884,Long term,Unfurnished,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"City Island Way, London, E14",E14,2500,2885,Long term,Ask agent,Ask agent,Apartment,2.0,2.0,Ask agent,0.4,3
"Skyline Apartments, Three Waters, London, E14",E14,2197,0,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.4,3
"Hampton Tower, 75 Marsh Wall, Canary Wharf, E14",E14,2750,3173,Long term,Furnished,Ask agent,Apartment,1.0,1.0,Ask agent,0.5,3
"Bromley Road, SE6",SE6,1575,1817,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Flat,1.0,1.0,Ask agent,0.5,3
"Hawke Place, Canada Water, London, SE16",SE16,2600,0,Long term,Furnished,Ask agent,Terraced,2.0,1.0,Ask agent,0.4,3
"Brigadier Walk, Royal Arsenal Riverside, London, SE18",SE18,3200,3692,Long term,Furnished,Ask agent,Apartment,2.0,2.0,Ask agent,1.2,3
"Marcia Road, London, SE1",SE1,3497,4326,Long term,Furnished,Ask agent,Detached,4.0,2.0,Ask agent,0.9,3
"The Retreat, Earlsfield, SW18",SW18,50,57,Long term,Unfurnished,Ask agent,Parking,,,Ask agent,0.7,3
"Parking Space, Green Man Gardens, West Ealing, W13",W13,50,0,Short term,Ask agent,Ask agent,Garages,,,Ask agent,0.4,3
"Parking Space, Caldecot Court, Camberwell, SE5",SE5,75,0,Long term,Ask agent,Ask agent,Garages,,,Ask agent,0.5,3
"Parking Space, CR0",CR0,80,100,Long term,Ask agent,Ask agent,,,,Ask agent,0.3,3
"Parking Space, Livesy Close, Kingston, Kingston upon Thames, KT1",KT1,85,99,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Parking,,,100 sq ft,0.6,3
"Parking Space Apartment Vantage Building, UB3",UB3,95,0,Long term,Ask agent,Ask agent,Parking,1.0,1.0,Ask agent,1.4,3
"Fishponds Road, London, SW17",SW17,100,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.5,3
"Hornbeam House, 20 Quebec Way, Canada Water, London, SE16",SE16,130,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.5,3
"MyBase, Southwark, SE1",SE1,130,150,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.3,3
"Stoke Newington High Street, London, N16",N16,130,130,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.4,3
"Modena House, Lyell Street, London City Island, E14",E14,130,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.4,3
"Surrey Quays Road, Surrey Quays Road, SE16",SE16,140,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.2,3
"Kingston Road, Wimbledon, London, SW20",SW20,150,174,Long term,Unfurnished,Ask agent,Parking,,,50 sq ft,0.4,3
"Prince Regent Rd, Hounslow, London, TW3",TW3,150,0,Long term,Unfurnished,Ask agent,Garages,,,Ask agent,0.4,3
"Ontario, Maple Quays, SE16",SE16,150,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.2,3
"Oxford Drive, London, SE1",SE1,150,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.4,3
"Old Devonshire Road, Balham, London, SW12",SW12,150,174,Long term,Unfurnished,Ask agent,Parking,,,50 sq ft,0.5,3
"Longstone Court, 22 Great Dover Street, London, SE1",SE1,150,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.8,3
"Watergardens Square, Canada Water, SE16",SE16,150,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.3,3
"Harbour Way, London, E14",E14,150,0,Long term,Ask agent,Ask agent,Parking,,,Ask agent,0.2,3
